,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
116435,116896,5/30/1944,CBI,GREAT BRITAIN,LIB,,,,,INDIA,IMPHAL  - TIDDIM,24.82,93.95,,,500 LB GP (GP-M43/M64),,,,,,,,,,,,0.0
116441,116902,4/30/1945,PTO,USA,B24,,,,,PHILIPPINE ISLANDS,SAPAKAN,6.333333333,124.66666670000001,102.0,,100 LB GP (GP-M30),,9.0,,,,,,,,,,9.0
116503,116964,5/1/1945,PTO,USA,B24,,,,,FORMOSA AND RYUKYU ISLANDS,25 10 N 121 5,25.16666667,121.83333329999999,110.0,6.0,1000 LB GP (GP-M44/M65),,3.0,,,,,,,,,,3.0
116508,116969,5/1/1945,PTO,USA,B25,,,,,FORMOSA AND RYUKYU ISLANDS,24 10 N 119 5,24.16666667,119.83333329999999,1.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
116516,116977,5/1/1945,PTO,USA,B24,,,,,FORMOSA AND RYUKYU ISLANDS,WANRI,22.93333333,120.16666670000001,80.0,,,,,,500 LB INCENDIARY,,12.0,,,,,,12.0
116526,116987,5/1/1945,ETO,USA,B26,,,,,FRANCE,45 40 N 010 40 E,45.67,10.67,127.0,,,,21.0,,,,,,,,,,21.0
116531,116992,5/1/1945,ETO,,B26,,,,,FRANCE,49 00 N 003 40 E,49.0,3.67,103.0,,,,25.0,,,,,,,,,,25.0
116643,117104,3/23/1942,MTO,GREAT BRITAIN,WELL,,,,,GREECE,SALAMIS,37.97,23.48,,,,,,,,,0.0,,,,0.0,,
116674,117135,3/25/1942,ETO,GREAT BRITAIN,LGT,,,,,FRANCE,LE TRAIT,49.47,0.77,,,,,9.0,,,,,,,,,,9.0
116761,117222,5/30/1944,ETO,USA,B24,,,,,AUSTRIA,NEUDORFL,47.8,16.3,195.0,,,,36.0,,,,,,,,,,36.0
116765,117226,5/30/1944,ETO,USA,B24,,,,,AUSTRIA,POTTENDORF,47.93,16.42,195.0,,,,69.0,,,,,,,,,,69.0
116792,117253,5/30/1944,ETO,USA,B17,,,,,GERMANY,HALBERSTADT,51.88,11.05,,,,,3.0,,,,,,,,,,3.0
116840,117301,5/1/1945,PTO,USA,A20,,,,,PHILIPPINE ISLANDS,PAYAGUAN RIVER,14.68333333,121.25,1.0,,250 LB GP (GP-M57),,7.0,,,,,,,,,,7.0
116842,117303,5/1/1945,PTO,USA,A20,,,,,PHILIPPINE ISLANDS,BALLESTEROS,18.41666667,121.5,1.0,,250 LB GP (GP-M57),,5.0,,,,,,,,,,5.0
116853,117314,5/1/1945,CBI,USA,B24,,,,,BURMA,ELEPHANT,11.83333333,98.16666667,14.0,,,,,,,,,516.6666667,120 LB FRAG (6X20 CLUSTERS),,31.0,,31.0
116855,117316,5/1/1945,PTO,USA,B24,,,,,FORMOSA AND RYUKYU ISLANDS,TONAU,23.68333333,120.46666670000002,125.0,,,,,,500 LB INCENDIARY,,4.0,,,,,,4.0
116863,117324,5/1/1945,PTO,USA,B24,,,,,FORMOSA AND RYUKYU ISLANDS,SHASO,22.08333333,120.71666670000002,110.0,,,,,,500 LB INCENDIARY,,3.0,,,,,,3.0
116867,117328,5/1/1945,PTO,USA,B24,,,,,FORMOSA AND RYUKYU ISLANDS,TANSUI,25.21666667,121.46666670000002,105.0,,,,,,,,,10.0,400 LB FRAG (20X20 CLUSTERS),,2.0,,2.0
