,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
17166,17167,11/2/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,45 20 N 012 20 E,45.33,12.33,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
17174,17175,11/2/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,41 00 N 013 40 E,41,13.67,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
17180,17181,11/2/1943,EAST AFRICA,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,,FIANO/ROMANO A/D,45.25,7.52,,,,,,,,,0,,,,0,,51.75
17459,17460,11/3/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,CISTERNA DI ROMA,41.57,12.83,,20,500 LB GP (GP-M43/M64),,5,,,,,,,,,,5
17460,17461,11/3/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,41 20 N 013 40 E,41.33,13.67,,16,500 LB GP (GP-M43/M64),,4,,,,,,,,,,4
17540,17541,8/14/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,42.48,13.55,,MARSEILLES PORT,43.28,5.37,,,,,,,,,0,,,,0,,78.75
17797,17798,11/4/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,MONTAQUILLA,41.57,14.12,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
17810,17811,8/15/1944,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.383889,SOLOMON ISLANDS,TUNURU,-6.2,155.5666667,,6,250 LB GP (GP-M57),1500,0.75,,,,0,,,,0,1500,0.75
18009,18010,11/4/1943,MTO,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,GREECE,ORTE,42.47,12.4,,,,,,,,,0,,,,0,,75
18013,18014,11/5/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,FORNELLI,41.62,14.15,,52,500 LB GP (GP-M43/M64),,13,,,,,,,,,,13
18020,18021,11/5/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,CASSINO,41.48,13.82,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
18022,18023,11/5/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,TERRACINA,41.27,13.25,,22,500 LB GP (GP-M43/M64),,5.5,,,,,,,,,,5.5
